,Link,Title,Date,Location
58,https://www.eventbrite.com/e/project-planning-and-monitoring-using-microsoft-project-tickets-143674525373,Project Planning and Monitoring using Microsoft Project,"Mon, Dec 6, 8:00 AM","Vital Extra Learning Center, Nairobi, Kenya • Nairobi, Nairobi County"
75,https://www.eventbrite.fr/e/billets-webconference-troubles-psy-et-adolescence-lart-du-cameleon-166906990301,"Webconférence: ""Troubles psy et adolescence... l'art du caméléon""","Thu, Nov 25, 2021 6:00 PM CET (+01:00)",
77,https://www.eventbrite.co.uk/e/retreat-from-home-online-yoga-and-life-drawing-tickets-179307572777,RETREAT FROM HOME: Online Yoga and Life Drawing,"Sun, Nov 28, 2021 2:00 PM GMT (+00:00)",
81,https://www.eventbrite.com/e/health-and-happiness-workshop-tickets-168705945023,Health and Happiness Workshop,"Mon, Jan 31, 2022 7:00 PM SAST (+02:00) + 2 more events",
124,https://www.eventbrite.com/e/virtual-speaking-masterclass-nairobi-tickets-134798872055,Virtual Speaking Masterclass Nairobi,Today at 7:30 PM,"Nairobi • Nairobi, Nairobi"
125,https://www.eventbrite.com/e/opportunities-in-project-finance-with-johnson-mwawasi-kilangi-tickets-177064082437,Opportunities in Project Finance with Johnson Mwawasi Kilangi,Today at 6:00 PM + 5 more events,"Parallel Four Hostels • Nairobi, Nairobi"
134,https://www.eventbrite.com/e/baking-from-scratch-101-tickets-152141837331,Baking from Scratch 101,"Thu, Dec 2, 2021 7:00 PM EST (-05:00) + 1 more event",
149,https://www.eventbrite.com/e/gis-mapping-and-spatial-data-analysis-course-tickets-198824709057,GIS Mapping and Spatial Data Analysis Course,"Mon, Dec 6, 9:00 AM","Transnational Plaza • Nairobi, Nairobi County"
167,https://www.eventbrite.com/e/remotasks-onboarding-training-tickets-163357190755,Remotasks Onboarding Training,"Mon, Nov 29, 2021 7:00 AM EAT (+03:00) + 59 more events",
170,https://www.eventbrite.co.uk/e/sion-corn-ai-ffrindiau-gartref-father-christmas-and-friends-at-home-tickets-182812455977,Siôn Corn A'i Ffrindiau - GARTREF | Father Christmas and Friends - AT HOME,"Sat, Dec 11, 2021 12:15 PM GMT (+00:00)",
171,https://www.eventbrite.sg/e/idp-ielts-masterclasstm-webinar-sea-tickets-170990105007,IDP IELTS Masterclass™ Webinar (SEA),"Mon, Dec 13, 2021 6:30 PM +08 (+08:00)",
172,https://www.eventbrite.co.uk/e/the-global-existential-summit-mission-1-tickets-166433177113,The Global Existential Summit - Mission #1,"Mon, Jan 3, 2022 9:00 AM GMT (+00:00)",
218,https://www.eventbrite.com/e/opportunities-in-project-finance-with-johnson-mwawasi-kilangi-tickets-177064092467,Opportunities in Project Finance with Johnson Mwawasi Kilangi,"Thu, Dec 2, 6:00 PM + 4 more events","Parallel Four Hostels • Nairobi, Nairobi"
230,https://www.eventbrite.ca/e/doge-disco-party-tickets-160249130463,Doge Disco Party!,"Sat, Dec 25, 2021 5:00 PM PST (-08:00)",
235,https://www.eventbrite.co.uk/e/house-home-expo-tickets-196454258977,House & Home Expo,Tomorrow at 10:00 PM,"The Hub Karen • Nairobi City, Nairobi County"
307,https://www.eventbrite.com/e/strategic-thinking-analysis-planning-for-sustained-organizational-success-tickets-142692480049,Strategic Thinking Analysis & Planning for Sustained Organizational Success,"Mon, Dec 6, 8:00 AM","Vital Extra Learning Center, Nairobi, Kenya • Nairobi, Nairobi"
336,https://www.eventbrite.com/e/training-course-on-effective-project-management-skills-tickets-140756459359,Training Course on Effective Project Management Skills,"Mon, Dec 6, 8:00 AM","Vital Extra Learning Center, Nairobi, Kenya • Nairobi, Nairobi"
342,https://www.eventbrite.de/e/das-jahr-2021-mit-the-grow-von-silicon-endsee-zu-pommes-champagner-tickets-142212016971,Das Jahr 2021 mit THE GROW: von Silicon Endsee zu Pommes & Champagner,"Wed, Dec 8, 2021 3:30 PM CET (+01:00)",
343,https://www.eventbrite.de/e/ulab-d-a-ch-2021-leading-from-the-emerging-future-tickets-168593986151,u.lab D-A-CH 2021 Leading From the Emerging Future,"Thu, Dec 16, 2021 7:00 PM CET (+01:00)",
349,https://www.eventbrite.com/e/9th-cb-madan-awards-tickets-217812461937,9th CB Madan Awards,"Tue, Dec 7, 12:00 PM","Strathmore Law School (LSB) • Nairobi, Nairobi County"
351,https://www.eventbrite.co.uk/e/house-home-expo-tickets-196454258977,House & Home Expo,Today at 10:00 PM,"The Hub Karen • Nairobi City, Nairobi County"
355,https://www.eventbrite.com/e/advanced-selling-skills-business-development-strategies-for-service-orgs-tickets-142477117895,Advanced Selling Skills & Business Development Strategies for Service Orgs.,"Mon, Dec 6, 8:00 AM","Vital Extra Learning Center, Nairobi, Kenya • Nairobi, Nairobi"
356,https://www.eventbrite.com/e/automotive-key-programming-skills-training-tickets-139077479485,Automotive Key Programming Skills Training,"Mon, Dec 13, 9:00 AM","KENVISION TECHNIKS WORKSHOPS • Nairobi, Nairobi"
385,https://www.eventbrite.com/e/copy-of-ieee-technical-university-of-kenya-industry-symposium-tickets-212705486837,Copy of IEEE TECHNICAL UNIVERSITY OF KENYA INDUSTRY SYMPOSIUM,"Mon, Dec 27, 8:30 AM","The Technical University of Kenya • Nairobi, Nairobi County"
386,https://www.eventbrite.com/e/nairobi-new-year-eve-meditation-learn-practice-and-unwind-tickets-218078377297,Nairobi - New Year Eve Meditation - Learn Practice and unwind!,"Fri, Dec 31, 10:45 PM","Online-Zoom • Nairobi, Nairobi"
387,https://www.eventbrite.com/e/africa-queen-of-energy-conference-awards-tickets-217515293097,Africa Queen of Energy Conference & Awards,"Fri, Jan 14, 8:00 AM","Nairobi Serena Hotel • Nairobi City, Nairobi County"
